"","Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation","drug"
"1","New method for synthesizing nelarabine","CN104892709 (A)","2015-09-09","SUN LIPING;  XIA RAN","UNIV XINXIANG","C07H19/19; C07H1/00","","CN20151301957","20150604","CN20151301957 20150604","","","","","","","","","","","","","","","nelarabine"
"2","COMBINATION CANCER THERAPY WITH AN HSP90 INHIBITOR AND AN ANTIMETABOLITE","US2014296176 (A1)","2014-10-02","PROIA DAVID [US];  FRIEDLAND JULIE [US]","PROIA DAVID [US];  FRIEDLAND JULIE [US];  SYNTA PHARMACEUTICALS CORP [US]","A61K31/675; A61K31/4196; A61K31/513; A61K31/519; A61K31/7068; A61K31/7076; A61N5/10","A61K45/06; A61K31/513; A61K31/519; A61K31/7068; A61N5/10; A61K31/4196; A61K31/675; A61K31/7076; A61K31/513; A61K2300/00; A61K31/519; A61K2300/00; A61K31/7068; A61K2300/00","US201214239676","20120817","US201214239676 20120817; US201161555787P 20111104; US201161525375P 20110819; WO2012US51316 20120817","US2006167070 (A1)","","","","","","","","","","","","","","nelarabine"
"3","Method for testing residual quantity of triflluor oacetic acid in nelarabine","CN103776941 (A)","2014-05-07","WANG CHONGYI;  CHEN WENJING;  WU TINGZHAO","JIANGSU CHIATAI QINGJIANG PHARMACEUTICAL CO LTD","G01N30/60; G01N30/02; G01N30/06","","CN20131569785","20131113","CN20131569785 20131113","","","","","","","","","","","","","","","nelarabine"
"4","Preparation method of nelarabine","CN103665076 (A)","2014-03-26","TAO HAIBO;  WEI FAN;  JIANG HUI;  CHEN YILANG","SHANGHAI SUN SAIL PHARMACEUTICAL SCIENCE & TECHNOLOGY CO LTD","C07H19/19; C07H1/00; C07H23/00","","CN20121316300","20120830","CN20121316300 20120830","","","","","","","","","","","","","","","nelarabine"
"5","Synthetic method for preparing nelarabine","CN103483409 (A)","2014-01-01","ZHAI YONGLI;  WANG JUAN","BEIJING MANGE PHARMACEUTICAL SCIENCE AND TECHNOLOGY CO LTD","C07H19/19; C07F7/10; C07H1/00","Y02P20/55","CN20131460155","20130924","CN20131460155 20130924","CN101768197 (A)","","","","","","","","","","","","","","nelarabine"
"6","Nelarabine injection composition and preparation method thereof","CN103191051 (B); CN103191051 (A)","2013-07-10","SHANG SHIYUN;  LI XIAOFENG;  ZHENG JIANWEI;  XIAO FENG","SHANDONG LUOXIN PHARMACY STOCK","A61K9/08; A61K31/7076; A61K47/02; A61P35/00; A61P35/02","","CN20131105280","20130328","CN20131105280 20130328","CN101683321 (A)","","","","","","","","","","","","","","nelarabine"
"7","Nelarabine crystalline compound and preparation method thereof","CN103172687 (A); CN103172687 (B)","2013-06-26","LI MINGJIE;  HAN FENGSHENG;  LI ZHIBIN;  WANG XINGYU","SHANDONG LUOXIN PHARMACY STOCK","C07H19/19; C07H1/06","","CN20131103874","20130328","CN20131103874 20130328","US2011033419 (A1); CN101348511 (A); CN101402662 (A); CN101768197 (A); CN101092441 (A)","","","","","","","","","","","","","","nelarabine"
"8","Uses of helicin and other glucopyranosyloxy benzaldehydes in the treatment of cancer","NZ588668 (A)","2013-01-25","BROWN JOE ERNEST","COGNATE 3","A61K31/70; A61K31/7004; A61P35/00","A61K45/06; A61K31/70; A61K31/70; A61K2300/00","NZ20090588668","20090403","US20080042210P 20080403; WO2009US02134 20090403","","","","","","","","","","","","","","","nelarabine"
"9","Synthesis of nelarabine","CN102250178 (A)","2011-11-23","QUN GU;  XUEWEI SUN;  CHUNXIA XU","JIANGSU CHIA TAI TIANQING PHAR","C07H19/19; C07H1/06; C07H19/167","","CN20111154370","20080128","CN20071119140 20070717; CN20111154370 20080128","","","","","","","","","","","","","","","nelarabine"
"10","Nelarabine N-9 site alpha isomer, and preparation method and application thereof","CN102060899 (A); CN102060899 (B)","2011-05-18","ZHAO JUN;  ZAIWEI ZONG;  YOUGUO DU","JIANGSU AOSAIKANG PHARM CO LTD","C07H19/19; C07H1/00; G01N21/31; G01N30/02; G01N30/90","","CN20101606275","20101227","CN20101606275 20101227","CN1571792 (A); US2005288500 (A1)","","","","","","","","","","","","","","nelarabine"
"11","DEUTERIUM-ENRICHED NELARABINE","US2011046082 (A1)","2011-02-24","CZARNIK ANTHONY W [US]","PROTIA LLC [US]","A61K31/70; C07H19/167","C07H19/167","US20100915266","20101029","US20100915266 20101029; US20080205664 20080905; US20070972229P 20070913","US5424295 (A); US5539098 (A)","","","","","","","","","","","","","","nelarabine"
"12","Intravenous injection of nelarabine and preparation method thereof","CN101926816 (A)","2010-12-29","LIXIA SHANG","BEIJING DVENTUREPHARM TECHNOLOGY DEV CO LTD","A61K31/7076; A61K9/08; A61K47/02; A61K47/10; A61P35/02","","CN2009187790","20090626","CN2009187790 20090626","","","","","","","","","","","","","","","nelarabine"
"13","Preparation method for nelarabine","CN101768197 (A)","2010-07-07","WEN LU;  QINGRUI ZHANG;  ZHIQIANG ZHANG","BEIJING D VENTUREPHARM TECHNOL","C07H19/19; A61P35/00","Y02P20/55","CN20081246549","20081229","CN20081246549 20081229","","","","","","","","","","","","","","","nelarabine"
"14","Method for preparing 2,3,5-tri-O-tribenzyl-1-chloro-D-arabinofuranose","CN101696227 (A)","2010-04-21","LILI DENG","LILI DENG","C07H15/18; C07H1/00; C07H15/203","","CN2009144633","20091027","CN2009144633 20091027","","","","","","","","","","","","","","","nelarabine"
"15","Nelarabine parenteral solution and method for preparing same","CN101683321 (B); CN101683321 (A)","2010-03-31","QUN GU;  ZHIGANG JIN;  ZHANGJIANG MI;  WEI JIANG;  ZHIGANG LI","BEIJING FURUI KANGZHENG INST O","A61K9/08; A61K31/708; A61P35/02","","CN20081223371","20080927","CN20081223371 20080927","","","","","","","","","","","","","","","nelarabine"
"16","Nelarabine freeze-drying powder needle preparation and preparation method thereof","CN101664391 (A)","2010-03-10","HUA FAN","HANGZHOU XIANDA MEDICINE TECHN","A61K9/19","","CN20091102210","20090908","CN20091102210 20090908","","","","","","","","","","","","","","","nelarabine"
"17","Process for producing nelarabine","CN101402662 (A); CN101402662 (B)","2009-04-08","ZAIWEI ZONG [CN];  ZHAO JUN [CN];  XIAOWEN WANG [CN];  LEI CHEN [CN];  JIA WEI [CN]","JIANGSU AOSAIKANG PHARMACEUTIC [CN]","C07H19/19; A61P35/02","","CN20081195188","20081107","CN20081195188 20081107","","","","","","","","","","","","","","","nelarabine"
"18","Nelarabine injection","CN101401786 (A); CN101401786 (B)","2009-04-08","JIANGUO DAI [CN];  DONG YE [CN];  HONGXIANG WANG [CN];  YAN DAI [CN]","JIANGSU AOSAIKANG PHARMACEUTIC [CN]","A61K9/08; A61K31/708; A61P35/02","","CN20081234681","20081114","CN20081234681 20081114","","","","","","","","","","","","","","","nelarabine"
"19","Anticancer sustained-release injection containing tumour medicament-resistant reverse agent and cell toxicity medicament","CN101249067 (A)","2008-08-27","HUALAN GAO [CN]","JINAN KANGQUAN PHARMACEUTICAL [CN]","A61K9/00; A61K9/08; A61K31/337; A61K31/4709; A61K47/34; A61P35/00","","CN20081300124","20060425","CN20081300124 20060425","","","","","","","","","","","","","","","nelarabine"
"20","An anticancer sustained release injection carrying tumor drug resistance reversal agent and cytotoxic drug simultaneously","CN1875930 (A)","2006-12-13","KONG QINGXIN [CN]","JINAN KANGQUAN PHARMACEUTICAL [CN]","A61K9/10; A61K31/519; A61K45/00; A61K47/32; A61K47/34; A61K47/38; A61P35/00","","CN20061200384","20060425","CN20061200384 20060425","","","","","","","","","","","","","","","nelarabine"
"21","Anticancer sustained release injection containing tumor drug resistance reversal agent and cytotoxic drug","CN1875928 (A)","2006-12-13","GAO HUALAN [CN]","JINAN KANGQUAN PHARMACEUTICAL [CN]","A61K9/10; A61K31/505; A61K31/517; A61K45/00; A61K47/32; A61K47/34; A61K47/36; A61K47/38; A61K47/42","","CN20061200382","20060425","CN20061200382 20060425","","","","","","","","","","","","","","","nelarabine"
"22","Pyrimidine derivatives and processes for the preparation thereof","US5521184 (A)","1996-05-28","ZIMMERMANN JUERG [CH]","CIBA GEIGY CORP [US]","C07D401/04; C07D401/14; C07D403/04; C07D409/04; C07D413/04; C07D239/92; A61K31/505","C07D401/04; C07D401/14; C07D403/04; C07D409/04; C07D413/04","US19940234889","19940428","CH19930002966 19931001; US19930042322 19930402; CH19920001083 19920403; US19940234889 19940428","US4694009 (A); US4788195 (A); US4876252 (A); US4940712 (A); CA2093203 (A1); EP0564409 (A1); EP0168262 (A2); EP0164204 (A1); EP0233461 (A2); EP0337943 (A2); EP0388838 (A2); EP0453731 (A2); DE3436380 (A1)","","","","","","","","","","","","","","imatinib"
"23","Pyrimidin derivatives and process for their preparation.","AT188964 (T)","2000-02-15","ZIMMERMANN JUERG DR [CH]","NOVARTIS AG [CH];  NOVARTIS ERFIND VERWALT GMBH [AT]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/04; C07D401/14","AT19930810219T","19930325","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"24","Pyrimidine derivatives and processes for the preparation thereof","AU666709 (B2); AU3569493 (A)","1993-10-07","NAME NOT GIVEN, ; DR JURG ZIMMERMANN","CIBA GEIGY AG","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D409/14","C07D401/04; C07D401/14","AU19930035694","19930402","CH19920001083 19920403","AU5057890 (A)","","","","","","","","","","","","","","imatinib"
"25","Further pyrimidine derivatives and their preparation","AU693804 (B2)","1998-07-09","ZIMMERMANN JURG","CIBA GEIGY AG","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","AU19940076975","19940921","CH19930002966 19931001; WO1994EP03149 19940921; CH19940002278 19940718","AU3569493 (A)","","","","","","","","","","","","","","imatinib"
"26","Further pyrimidine derivatives and their preparation","AU7697594 (A)","1995-05-01","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","AU19940076975D","19940921","CH19930002966 19931001; CH19940002278 19940718; WO1994EP03149 19940921","","","","","","","","","","","","","","","imatinib"
"27","Pyrimidin derivatives and process for their preparation.","BR1100739 (A)","2000-06-06","ZIMMERMANN JUERG DR","","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/04; C07D401/14","BR19971100739","19970509","BR19971100739 19970509; CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"28","PYRIMIDINE DERIVATIVES AND PROCESSES FOR THE PREPARATION THEREOF","CA2093203 (A1); CA2093203 (C)","1993-10-04","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; A61K31/535; C07D401/14; C07D409/14; C07D413/14","C07D401/04; C07D401/14","CA19932093203","19930401","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"29","FURTHER PYRIMIDINE DERIVATIVES AND THEIR PREPARATION","CA2148477 (A1)","1995-04-13","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","CA19942148477","19940921","CH19930002966 19931001; CH19940002278 19940718","","","","","","","","","","","","","","","imatinib"
"30","PYRIMIDINE DERIVATIVES AND A PROCESS FOR PRODUCTION THEREOF","CN1077713 (A); CN1043531 (C)","1993-10-27","CHIMERMANN J [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/44; C07D401/14; C07D409/14","C07D401/04; C07D401/14","CN1993103566","19930402","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"31","Pyrimidin derivatives and process for their preparation","CY2229 (B1)","2003-04-18","ZIMMERMANN JUERG DR [CH]","NOVARTIS AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/14; C07D401/04","CY20010000019","20010713","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"32","N-PHENYL-2-PYRIMIDINAMINE DERIVATIVES, PROCESS OF THEIR PREPARATION AND PHARMACEUTICAL PREPARATIONS IN WHICH THEY ARE COMPRISED","CZ283944 (B6); CZ9300560 (A3)","1994-02-16","ZIMMERMANN JURG DR [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D239/42; A61K31/505","C07D401/14; C07D401/04","CZ19930000560","19930401","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"33","Pyrimidin derivatives and process for their preparation.","DE10299016 (I1)","2002-08-29","ZIMMERMANN DR [CH]","NOVARTIS AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04","C07D401/04; C07D401/14","DE2002199016C","19930325","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"34","Pyrimidin derivatives and process for their preparation.","DE10299016 (I2)","2006-08-24","ZIMMERMANN J DR [CH]","NOVARTIS AG [CH]","A61K31/505; C07D401/04; A61P35/00; C07D239/32; C07D239/42; C07D401/14; C07D403/04","C07D401/04; C07D401/14","DE1993509931C","19930325","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"35","Pyrimidin derivatives and process for their preparation.","DK0564409 (T3)","2000-06-19","ZIMMERMANN JUERG DR [CH]","NOVARTIS AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/14; C07D401/04","DK19930810219T","19930325","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"36","Pyrimidin derivatives and process for their preparation.","EP0564409 (A1); EP0564409 (B1)","1993-10-06","ZIMMERMANN JUERG DR [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/14; C07D401/04","EP19930810219","19930325","CH19920001083 19920403","EP0233461 (A2)","","","","","","","","","","","","","","imatinib"
"37","FURTHER PYRIMIDINE DERIVATIVES AND THEIR PREPARATION.","EP0672040 (A1)","1995-09-20","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","EP19940927633","19940921","CH19930002966 19931001; WO1994EP03149 19940921; CH19940002278 19940718","","","","","","","","","","","EP0564409 (A1); EP0233461 (A2)","","","","imatinib"
"38","Pyrimidin derivatives and process for their preparation.","ES2142857 (T3)","2000-05-01","ZIMMERMANN JURG DR [CH]","NOVARTIS AG","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D401/04; A61K31/505; C07D401/14; C07D403/04","C07D401/04; C07D401/14","ES19930810219T","19930325","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"39","Pyrimidin derivatives and process for their preparation.","FI931458 (A); FI109534 (B)","1993-10-04","ZIMMERMANN JUERG [CH]","CIBA GEIGY AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04","C07D401/14; C07D401/04","FI19930001458","19930331","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"40","Pyrimidin derivatives and process for their preparation.","GR3032927 (T3)","2000-07-31","","","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; A61K31/505; C07D401/04; C07D401/14; C07D403/04","C07D401/14; C07D401/04","GR20000400623T","20000310","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"41","PYRIMIDINE DERIVATIVES AND PHARMACEUTICAL COPOSITIONS COMPRISING THEM, AND PROCESS FOR PRODUCING SUCH COMPOUNDS","HUT64050 (A); HU226488 (B1)","2009-03-02","ZIMMERMANN JUERG DR [CH]","NOVARTIS AG [CH]","A61K31/505; C07D401/04; A61P35/00; C07D239/32; C07D239/42; C07D401/14; C07D403/04; C07D409/14","C07D401/14; C07D401/04","HU19930000982","19930402","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"42","PYRIMIDINE DERIVATIVES AND PHARMACEUTICAL COPOSITIONS COMPRISING THEM, AND PROCESS FOR PRODUCING SUCH COMPOUNDS","HU227080 (B1)","2010-06-28","ZIMMERMANN JUERG DR [CH]","NOVARTIS AG [CH]","A61K31/505; C07D401/04; A61P35/00; C07D239/32; C07D239/42; C07D401/14; C07D403/04; C07D409/14","C07D401/14; C07D401/04","HU19930000982D","19930402","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"43","Pyrimidine derivatives processes for the preparation thereof and pharmaceutical compositions containing them","IL105264 (A)","1999-04-11","","NOVARTIS AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D239/42; A61K31/505; A61K31/535; C07D401/04; C07D401/12; C07D401/14; C07D403/04; C07D403/12; C07D403/14; C07D413/04; C07D413/12; C07D413/14","C07D401/04; C07D401/14","IL19930105264","19930401","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"44","PYRIMIDINE DERIVATIVE AND ITS PREPARATION","JP2706682 (B2); JPH0687834 (A)","1994-03-29","YURUKU TSUINMAAMAN","CIBA GEIGY AG","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D239/42; A61K31/505; C07D401/04; C07D403/04","C07D401/04; C07D401/14","JP19930078096","19930405","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"45","FURTHER PYRIMIDINE DERIVATIVES AND THEIR PREPARATION","JPH08504834 (A)","1996-05-28","ZIMMERMANN JUERG [CH]","","A61K31/505; A61P35/00; C07D401/04; C07D403/04; C07D409/04; C07D413/04; C07D401/04; A61K31/505; C07D403/04; C07D409/04","C07D401/04; C07D403/04; C07D409/04; C07D413/04","JP19950510576","19940921","CH19930002966 19931001; CH19940002278 19940718; WO1994EP03149 19940921","","","","","","","","","","","","","","","imatinib"
"46","PYRIMIDINE DERIVATIVES AND PROCESSES FOR THE PREPARATION THEREOF","KR100261366 (B1)","2000-08-01","JUERG ZIMMERMANN [CH]","NOVARTIS AG [CH]","A61K31/505; A61P35/00; C07D239/32; C07D239/42; C07D401/04; C07D401/14; C07D403/04; C07D239/42; A61K31/505","C07D401/04; C07D401/14","KR19930005628","19930403","CH19920001083 19920403","","","","","","","","","","","","","","","imatinib"
"47","ANTI-MET IN COMBINATION WITH ANTI-VEGFR2 ANTIBODIES THERAPY FOR CANCER","US2016369004 (A1)","2016-12-22","PYTOWSKI BRONISLAW [US];  SCHWARTZ JONATHAN DAVID [US];  WACHECK VOLKER [AT];  YAN SAU-CHI BETTY [US]","LILLY CO ELI [US]","C07K16/30; A61K45/06; C07K16/28","C07K16/2863; C07K16/3023; C07K16/3038; C07K16/3046; A61K2039/507; A61K2039/545; C07K2317/21; C07K2317/24; C07K2317/76; C07K2317/77; A61K45/06; C07K16/30; C07K2317/35","US201515122262","20150225","US201515122262 20150225; US201461947743P 20140304; WO2015US17424 20150225","","","","","","","","","","","","","","","ramucirumab"
"48","Therapy for urothelial carcinoma","TW201625304 (A)","2016-07-16","RUTSTEIN MARK D [US];  SCHWARTZ JOHNATHAN D [US];  TANG SHANDE [US];  WALGREN RICHARD A [US]","LILLY CO ELI [US]","A61K39/395; A61K31/337; A61P35/00","A61K39/395; A61K31/337; C07K16/2863; A61K31/337; A61K2300/00; A61K39/395; A61K2300/00","TW20150133078","20151007","US201462068399P 20141024","","","","","","","","","","","","","","","ramucirumab"
"49","Combination therapy for cancer","AU2015223359 (A1)","2016-08-11","CHAN EDWARD MICHAEL","LILLY CO ELI","A61K39/395; A61K31/506; A61P35/00","A61K31/506; A61K39/395; A61K31/506; A61K2300/00","AU20150223359","20150219","US201461944811P 20140226; WO2015US16529 20150219","","","","","","","","","","","","","","","ramucirumab"
"50","Therapy for HCC","TW201617094 (A)","2016-05-16","ABADA PAOLO BENJAMIN [US];  CHANG SHAO-CHUN [US];  HSU YANZHI [US];  YANG LING [CN]","LILLY CO ELI [US]","A61K39/395; A61P35/00","C07K16/2863; G01N33/57438; A61K2039/505; A61K2039/545; A61K2039/55; C07K2317/21; G01N2800/52","TW20150124594","20150729","US201462037848P 20140815","","","","","","","","","","","","","","","ramucirumab"
"51","METHODS OF SELECTING TREATMENT REGIMENS","WO2015082880 (A1)","2015-06-11","BARRY SIMON T [GB];  CRITCHLOW SUSAN E [GB];  POMMIER AURELIEN J C [GB]","ASTRAZENECA AB [SE];  ASTRAZENECA UK LTD [GB]","A61K39/395; A61K31/282; A61K31/404; A61K31/44; A61K31/4439; A61K31/47; A61K31/4725; A61K31/506; A61K31/513; A61K31/517; A61K31/519; A61K45/06; A61P35/00","A61K45/06; A61K31/282; A61K31/404; A61K31/44; A61K31/4439; A61K31/47; A61K31/4725; A61K31/506; A61K31/513; A61K31/517; A61K31/519; A61K31/517; A61K2300/00; A61K31/519; A61K2300/00; A61K31/513; A61K2300/00; A61K31/282; A61K2300/00","WO2014GB53485","20141125","US201361910652P 20131202","","","","","","","","","","","WO2013148288 (A1); WO2013083499 (A1); US2013165337 (A1); WO2005092303 (A2); WO2008088893 (A2); WO2012115885 (A1)","XP055165887; XP055165835; XP002998538; XP055166281; XP055166278; XP055165279; XP009137370; XP019849099","","","ramucirumab"
"52","DELAMINATION RESISTANT PHARMACEUTICAL GLASS CONTAINERS CONTAINING ACTIVE PHARMACEUTICAL INGREDIENTS","US2014341888 (A1)","2014-11-20","WEEKS WENDELL P [US];  SCHAUT ROBERT ANTHONY [US];  DEMARTINO STEVEN EDWARD [US];  PEANASKY JOHN STEPHEN [US]","CORNING INC [US]","A61J1/00; A61K38/28; A61K38/29; B65D1/00; C03C3/087; C03C3/091; C03C4/20; C07K16/18; C07K16/24; C07K16/28","C03C3/087; C03C3/091; C03C4/20; C03C21/002; A61K38/28; A61K38/29; A61J1/00; B65D1/00; C07K16/18; C07K16/244; C07K16/2863; C07K16/2875; C07K2317/94","US201414259259","20140423","US201414259259 20140423; US201361815704P 20130424","US2006189533 (A1)","","","","","","","","","","","","","","ramucirumab"
