"","Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation","drug"
"53","Bone Morphogenetic Protein Pathway Activation, Compositions for Ossification, and Methods Related Thereto","US2016361470 (A1)","2016-12-15","BODEN SCOTT D [US];  SANGADALA SREEDHARA [US]","UNIV EMORY [US]","A61L27/54; A61K31/436; A61K33/42; A61K38/18; A61K38/39; A61L27/12; A61L27/24; A61L27/52","A61L27/12; A61L27/46; A61L27/52; A61L27/54; A61K38/1875; A61K38/39; A61K31/436; A61K31/05; A61K31/07; A61K31/136; A61K31/196; A61K31/203; A61K31/232; A61K31/404; A61K31/407; A61K31/4174; A61K31/4184; A61K31/4745; A61K31/475; A61K31/506; A61K31/5377; A61K31/56; A61K31/585; A61K31/704; A61K31/7048; A61K31/7068; A61K33/42; A61L2300/414; A61L2300/45; A61L2430/02; A61L27/24; A61L27/46; C08L89/06; A61K33/42; A61K2300/00","US201615250221","20160829","US201615250221 20160829; US201414345661 20140319; WO2012US55722 20120917; US201261669199P 20120709; US201261657099P 20120608; US201161536168P 20110919","","","","","","","","","","","","","","","sunitinib"
"54","COMBINATION THERAPY FOR TREATING CANCER","WO2016172199 (A1)","2016-10-27","KEILHACK HEIKE [US];  PILI ROBERTO [US]","EPIZYME INC [US];  HEALTH RESEARCH INC [US]","A61K31/5377; A61K31/404; A61K31/4412; A61K31/444; A61P35/00","A61K31/404; A61K31/44; A61K31/4412; A61K31/444; A61K31/506; A61K31/517; A61K31/5377; A61K39/00; A61K31/5377; A61K2300/00; A61K31/4412; A61K2300/00; A61K31/517; A61K2300/00; A61K31/506; A61K2300/00; A61K31/44; A61K2300/00; A61K31/404; A61K2300/00; A61K31/444; A61K2300/00","WO2016US28425","20160420","US201562150185P 20150420","","","","","","","","","","","WO2013155464 (A1); WO2014168975 (A1); WO2014062720 (A2)","XP055325225","","","sunitinib"
"55","METHOD OF TREATMENT OF PHILADELPHIA CHROMOSOME POSITIVE LEUKEMIA","US2016304616 (A1)","2016-10-20","HIWASE DEVENDRA KESHAORAO [AU];  HUGHES TIMOTHY PETER [AU];  LOPEZ ANGEL FRANCISCO [AU];  VAIRO GINO LUIGI [AU]","CSL LTD [AU]","C07K16/28; A61K31/506; A61K38/17; A61K38/20; A61K39/395; A61K47/48","A61K38/202; A61K38/1793; A61K38/193; A61K39/39558; A61K45/06; A61K31/122; A61K31/4545; A61K31/497; A61K31/506; A61K39/3955; A61K47/48269; A61K47/4863; C07K16/2866; C07K2317/24; C07K2317/52; C07K2317/732; A61K31/122; A61K2300/00; A61K31/497; A61K2300/00; A61K38/193; A61K2300/00; A61K39/39558; A61K2300/00; A61K38/202; A61K2300/00; A61K38/1793; A61K2300/00; A61K31/4545; A61K2300/00","US201615193784","20160627","US201615193784 20160627; US201414517254 20141017; US201213499436 20120608; WO2010AU01295 20101001; US20090247669P 20091001","","","","","","","","","","","","","","","sunitinib"
"56","SUNITINIB PRODRUG AND PHARMACEUTICAL COMPOSITION","WO2016119646 (A1)","2016-08-04","WANG ZHONG [CN];  LI QING [CN]","TRIDENT BIOSCIENCES INC [CN]","C07D403/06; A61K31/404; A61P1/16; A61P35/00","A61K31/404; C07D403/06","WO2016CN71951","20160125","CN2015145099 20150128","","","","","","","","","","","CN103848985 (A)","","","","sunitinib"
"57","PROCESS FOR THE PREPARATION OF MALIC ACID SALT OF SUNITINIB","ZA201207547 (B)","2013-06-26","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  PRASAD MOHAN;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR","RANBAXY LABORATORIES LTD [IN]","A61K; A61P; C07D","C07D403/06; C07C51/41; C07B2200/07","ZA20120007547","20121008","IN2010DEL635 20100318; WO2011IB50820 20110225","","","","","","","","","","","","","","","sunitinib"
"58","PROCESS FOR THE DIRECT PREPARATION OF MALIC ACID SALT OF SUNITINIB","ZA201207417 (B)","2013-06-26","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR;  PRASAD MOHAN","RANBAXY LABORATORIES LTD [IN]","C07D","C07D403/06; C07C51/412","ZA20120007417","20121003","IN2010DEL478 20100304; WO2011IB50821 20110225","","","","","","","","","","","","","","","sunitinib"
"59","CRYSTALLINE FORMS OF L-MALIC ACID SALT OF SUNITINIB","ZA201206298 (B)","2013-06-26","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  PRASAD MOHAN;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR","RANBAXY LABORATORIES LTD [IN]","C07D","C07D403/06","ZA20120006298","20120821","IN2010DEL203 20100129; WO2011IB50397 20110128","","","","","","","","","","","","","","","sunitinib"
"60","AGENT FOR PREVENTING AND/OR TREATING AMYOTROPHIC LATERAL SCLEROSIS","WO2016114322 (A1)","2016-07-21","INOUE HARUHISA [JP];  IMAMURA KEIKO [JP]","UNIV KYOTO [JP]","A61K45/00; A61K31/277; A61K31/416; A61K31/4365; A61K31/4433; A61K31/496; A61K31/505; A61K31/506; A61K31/5377; A61P21/00","A61K45/00; A61K31/277; A61K31/416; A61K31/4365; A61K31/4433; A61K31/496; A61K31/505; A61K31/506; A61K31/5377","WO2016JP50883","20160113","JP20150004589 20150113; JP20150137909 20150709","","","","","","","","","","","WO2010098888 (A1); JP2014502974 (A); WO2004091663 (A1); WO2012048330 (A2); WO2010065162 (A1); WO2008031835 (A2); WO2006042362 (A1); JP2013518810 (A)","XP026692386; XP028156756","","","sunitinib"
"61","SALTS OF SUNITINIB","ZA201202565 (B)","2012-12-27","SANWAL SUDHIR SINGH;  SATHYANARAYANA SWARGAM;  PRASAD MOHAN;  KUMAR SARIDI MADHAVA DILEEP;  THAPER RAJESH KUMAR","RANBAXY LABORATORIES LTD [IN]","C07D","C07D403/06","ZA20120002565","20120410","IN2009DEL1932 20090916; WO2010IB54196 20100916","","","","","","","","","","","","","","","sunitinib"
"62","Active targeting liposome for resisting lung cancer and preparing method and application of active targeting liposome","CN105726483 (A)","2016-07-06","LU KAIHUA;  HE LIANG;  ZHANG MEILING","LU KAIHUA;  HE LIANG;  ZHANG MEILING","A61K9/127; A61K31/202; A61K31/404; A61K47/42; A61P35/00","","CN2016175758","20160203","CN2016175758 20160203","CN101225042 (A); CN102485212 (A)","","","","","","","","","","","","","","sunitinib"
"63","Treatment of cancer","GB2537053 (A)","2016-10-05","JOE CONNER [GB]","VIRTTU BIOLOGICS LTD [GB]","A61K35/76; A61K38/00; A61K45/06; A61P35/00","A61K45/06; A61K35/763; G01N33/5011; G01N2500/04; G01N2500/10; A61K35/763; A61K2300/00; A61K38/005; A61K45/06; A61K35/763","GB20160007581","20140221","GB20130003184 20130222; GB20140003083 20140221","","","","","","","","","","","","","","","sunitinib"
"64","Preparation method of sunitinib malate crystal form (I)","CN105712979 (A)","2016-06-29","ZHU SHAOXUAN;  HUANG XIAOGUANG;  WANG JIANSONG;  BAO YINGXIA;  YE HAIHONG;  YU ZHUMING;  HU HAIRONG;  FENG JIN;  CHEN MAO","GUANGZHOU BAIYUNSHAN PHARMACEUTICAL GROUP CO LTD BAIYUNSHAN PHARMACEUTICAL GENERAL FACTORY","C07D403/06","","CN20141730965","20141205","CN20141730965 20141205","","","","","","","","","","","","","","","sunitinib"
"65","Novel sunitinib derivative, and preparation method and application thereof","CN105622680 (A)","2016-06-01","FENG DONGXIANG;  SHEN CHAO;  XIANG JIAYUN;  HUANG CHENLEI;  YANG MING","HANGZHOU LUPU BIOTECHNOLOGY CO LTD","C07H13/10; A61P35/00; C07H1/00","","CN20151976654","20151222","CN20151976654 20151222","","","","","","","","","","","","","","","sunitinib"
"66","Medicinal composition with synergic anti-tumor effect and application thereof","CN105434435 (A)","2016-03-30","ZHANG YANMIN;  DAI BINGLING;  WANG WENJIE;  MA YUJIAO;  ZHAN YINGZHUAN;  ZHANG DONGDONG;  LIU RUI;  QI JUNPENG","XI'AN JIAOTONG UNIV","A61K31/4375; A61K31/404; A61P35/00; A61P35/04","","CN20151889592","20151207","CN20151889592 20151207","","","","","","","","","","","","","","","sunitinib"
"67","Renal cell carcinoma treatment medicine sunitinib-PLGA/Fe3O4 composite microsphere and preparation method thereof","CN105434399 (A)","2016-03-30","SHUAI FANGWEN;  WANG XIANGFENG;  ZHANG JIAWEI","HUNAN ER-KANG PHARMACEUTICAL CO LTD","A61K9/50; A61K31/404; A61K47/02; A61K47/34; A61P35/00","","CN20151978596","20151224","CN20151978596 20151224","","","","","","","","","","","","","","","sunitinib"
"68","Kit for detecting lncARSR in serum and application of kit in detection of kidney cancer sunitinib drug resistance","CN105256036 (A)","2016-01-20","QU LE;  CHEN CHENG;  WANG LINHUI;  LIU BING;  WU ZHENJIE;  ZHANG WEN","UNIV PLA 2ND MILITARY MEDICAL","C12Q1/68","","CN20151703053","20151026","CN20151703053 20151026","","","","","","","","","","","","","","","sunitinib"
"69","Application of AXL/c-Met inhibitor in preparation of drug for reversing renal cancer sunitinib drug resistance","CN105251023 (A)","2016-01-20","QU LE;  CHEN CHENG;  WANG LINHUI;  LIU BING;  WU ZHENJIE;  ZHANG WEN","UNIV PLA 2ND MILITARY MEDICAL","A61K48/00; A61K31/404; A61P35/00","","CN20151689942","20151022","CN20151689942 20151022","","","","","","","","","","","","","","","sunitinib"
"70","SUNITINIB FORMULATIONS AND METHODS FOR USE THEREOF IN TREATMENT OF GLAUCOMA","WO2016100380 (A1)","2016-06-23","FU JIE [US];  HANES JUSTIN [US];  ZACK DONALD JEFFREY [US];  YANG ZHIYONG [US];  WELSBIE DEREK STUART [US];  BERLINICKE CYNTHIA ANN [US]","UNIV JOHNS HOPKINS [US]","A61K9/00; A61K9/16; A61K9/19; A61K31/404; A61P27/02","A61K9/0051; A61K9/1647; A61K9/19; A61K31/404","WO2015US65878","20151215","US201462092118P 20141215; US201562139306P 20150327","","","","","","","","","GB929406 (A); GB929401 (A); US3266987 (A); US4794000 (A); US4460563 (A); US5019400 (A); US4997652 (A); US2010124565 (A1)","","WO2013177367 (A2)","XP029046400","","","sunitinib"
"71","Method of treating gastrointestinal stromal tumors","NZ622155 (A)","2015-12-24","MONAHAN JOHN E;  LI FANG","NOVARTIS AG","A61K31/4439; A61K31/4745; A61K31/506; A61K31/5377; A61K45/06","A61K45/06; A61K31/404; A61K31/4439; A61K31/4745; A61K31/506; A61K31/5377; A61K31/496; A61K31/4439; A61K2300/00; A61K31/4745; A61K2300/00; A61K31/506; A61K2300/00; A61K31/5377; A61K2300/00; A61K31/404; A61K2300/00","NZ20120622155","20121024","WO2012US61532 20121024; US201161552633P 20111028","","","","","","","","","","","","","","","sunitinib"
"72","TOPICAL OPHTHALMOLOGICAL PHARMACEUTICAL COMPOSITION CONTAINING SUNITINIB","HK1204992 (A1)","2015-12-11","BTTGER MICHAEL;  VON DEGENFELD GEORGES;  FREUNDLIEB JULIA;  HIRTH-DIETRICH CLAUDIA;  KELDENICH JOERG;  KLAR JRGEN;  MUENSTER UWE;  OHM ANDREAS;  RICHTER ANNETT;  RIEDL BERND;  TELSER JOACHIM","BAYER HEALTHCARE LLC [US]","A61K","A61K9/0048; A61K47/06; A61K31/404; A61K9/10","HK20150105934","20150623","WO2013US44953 20130610; PK20120000405 20120625; WO2012EP62365 20120626; VE20120000816 20120627; JO20120000170 20120627; EP20120198651 20121220","","","","","","","","","","","","","","","sunitinib"
"73","New sunitinib malate crystal form and preparation method therefor","CN105085490 (A)","2015-11-25","THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED","SHANGHAI SYNCORES TECHNOLOGIES INC","C07D403/06; C07C51/41; C07C59/245","","CN20141193624","20140509","CN20141193624 20140509","","","","","","","","","","","","","","","sunitinib"
"74","Composition and application thereof on suppression of osteosarcoma proliferation","CN105078972 (A)","2015-11-25","WU SUJIA;  ZHOU GUANGXIN;  LIU XIAOZHOU;  HU BIN","NANJING GENERAL HOSPITAL NANJING MILITARY AREA COMMAND PLA","A61K31/404; A61K31/282; A61P35/00","","CN20141187437","20140505","CN20141187437 20140505","","","","","","","","","","","","","","","sunitinib"
"75","""""SALTS OF SUNITINIB""""","IN3290DEN2012 (A)","2015-10-23","SUDHIR SINGH SANWAL [IN];  SARIDI MADHAVA DILEEP KUMAR [IN];  SWARGAM SATHYANARAYANA [IN];  RAJESH KUMAR THAPER [IN];  MOHAN PRASAD [IN]","RANBAXY LAB LTD [IN]","C07D403/06","","IN2012DELNP3290","20120416","WO2010IB54196 20100916","","","","","","","","","","","","","","","sunitinib"
"76","METHOD OF TREATING GASTROINTESTINAL STROMAL TUMORS","IN10801DEN2014 (A)","2015-09-04","MONAHAN JOHN E [US];  LI FANG [US]","NOVARTIS AG [CH]","A61K31/506; A61P35/00","A61K45/06; A61K31/404; A61K31/496; A61K31/506; A61K31/4709; A61K31/506; A61K2300/00; A61K31/404; A61K2300/00; A61K31/496; A61K2300/00; A61K31/4709; A61K2300/00","IN2014DELNP10801","20141217","US201261670168P 20120711; WO2012US61535 20121024; WO2013US36273 20130412","","","","","","","","","","","","","","","sunitinib"
"77","Renal cancer sunitinib drug-resistant cell system and establishing method thereof","CN104988122 (A)","2015-10-21","QU LE;  WANG LINHUI;  LIU BING;  CHEN CHENG;  WU ZHENJIE;  ZHANG WEN","UNIV PLA 2ND MILITARY MEDICAL","C12N5/09; C12Q1/02; C12R1/91","","CN20151304372","20150604","CN2015114940 20150113; CN20151304372 20150604","","","","","","","","","","","","","","","sunitinib"
"78","TREATMENT OF MULTIPLE SCLEROSIS BY ALEMTUZUMAB INDUCTION FOLLOWED BY LAQUINIMOD THERAPY","US2016296513 (A1)","2016-10-13","KNAPPERTZ VOLKER [US]","KNAPPERTZ VOLKER [US];  TEVA PHARMA [IL]","A61K31/4704; A61K9/00; A61K9/28; A61K39/395; A61K45/06; C07K16/28","A61K31/4704; C07K16/2893; A61K2039/505; A61K2039/545; A61K39/3955; A61K45/06; A61K9/0053; A61K9/28; C07K2317/24; A61K31/4704; A61K2300/00","US201615190027","20160622","US201615190027 20160622; US201614909042 20160129; WO2014US49220 20140731; US201361920085P 20131223; US201361861354P 20130801","","","","","","","","","","","","","","","aletuzumab"
"79","Treatment of multiple sclerosis (MS) with Campath-1H","AU2016204844 (A1)","2016-07-28","SACHSE ANDREAS;  MARGOLIN DAVID HARRIS","ALCAFLEU MAN GMBH & CO KG;  GENZYME CORP","C07K16/28; A61K39/395","","AU20160204844","20160711","AU20130206718 20130705; AU20160204844 20160711","","","","","","","","","","","","","","","aletuzumab"
"80","TREATMENT OF MULTIPLE SCLEROSIS (MS) WITH CAMPATH-1H","EP3028718 (A1)","2016-06-08","SACHSE ANDREAS [DE];  MARGOLIN DAVID HARRIS [US]","ALCAFLEU MAN GMBH & CO KG [DE];  GENZYME CORP [US]","A61K39/395; C07K16/28","C07K16/2893; A61K2039/505; A61K2039/545; C07K2317/24","EP20150191491","20070911","US20060844251P 20060913; EP20060090169 20060914; EP20070802348 20070911; EP20150191491 20070911","WO9310817 (A1)","XP002460984; XP002756875; XP002460983; XP002460982","","","","","","","US5846534 (A); US6120766 (A)","","","","","","aletuzumab"
"81","SUPERIOR EFFICACY OF CD37 ANTIBODIES IN CLL BLOOD SAMPLES","US2015266967 (A1)","2015-09-24","STILGENBAUER STEPHAN [DE];  ZENZ THORSTEN [DE];  HEIDER KARL-HEINZ [AT]","BOEHRINGER INGELHEIM INT [DE]","C07K16/28","C07K16/2896; A61K2039/505; C07K2317/24; C07K2317/73; C07K2317/732; C07K2317/92; A61K39/39558; C07K2317/565","US201514684928","20150413","US201514684928 20150413; EP20100169795 20100716; EP20100175586 20100907; US201313871345 20130426; US201113182471 20110714","US2008279850 (A1)","","","","","","","","","","","","","","aletuzumab"
"82","METHODS RELATED TO ALEMTUZUMAB","US2015125848 (A1)","2015-05-07","ROBBLEE JOHN [US];  COLLINS BRIAN EDWARD [US];  KAUNDINYA GANESH [US];  BOSQUES CARLOS J [US]","MOMOENT PHARMACEUTICALS INC [US];  MOMENTA PHARMACEUTICALS INC [US]","C07K16/28","C07K16/2893; C07K2317/24; C07K2317/41","US201314403838","20130531","US201314403838 20130531; US201361783064P 20130314; US201261654532P 20120601; WO2013US43667 20130531","US2009220520 (A1); WO9730087 (A1); US2006008415 (A1)","","","","","","","","","","","","","","aletuzumab"
"83","DELAMINATION RESISTANT PHARMACEUTICAL GLASS CONTAINERS CONTAINING ACTIVE PHARMACEUTICAL INGREDIENTS","US2014341891 (A1)","2014-11-20","WEEKS WENDELL P [US];  SCHAUT ROBERT ANTHONY [US];  DEMARTINO STEVEN EDWARD [US];  PEANASKY JOHN STEPHEN [US]","CORNING INC [US]","A61J1/00; A61K31/166; A61K31/4425; A61K31/727; A61K38/22; A61K38/28; B65D1/00; C03C3/087; C03C3/091; C03C4/20; C07K16/24; C07K16/28; C07K16/40","A61K31/166; A61K31/4425; A61K31/727; C03C3/087; C03C3/091; C03C4/20; C03C21/002; A61K38/22; A61K38/28; A61J1/00; B65D1/00; C07K16/248; C07K16/2893; C07K16/40; C07K2317/94","US201414259286","20140423","US201414259286 20140423; US201361815717P 20130424","US2006014670 (A1); US6794323 (B2); US2011274916 (A1)","","","","","","","","","","","","","","aletuzumab"
"84","Treatment of multiple sclerosis (MS)","TW201424751 (A)","2014-07-01","SACHSE ANDREAS [DE];  MARGOLIN DAVID H [US]","ALCAFLEU MAN GMBH & CO KG [DE];  GENZYME CORP [US]","A61K39/395; C07K16/28; A61P25/00; A61P37/00","","TW20130141784","20070910","US20060844251P 20060913; EP20060090169 20060914","","","","","","","","","","","","","","","aletuzumab"
"85","Medicaments, uses and methods","GB2526139 (A)","2015-11-18","FRENDEUS BJORN [SE];  TEIGE INGRID [SE];  RTENSSON LINDA MÃ [SE];  CRAGG MARK [GB];  ROGHANIAN ALI [GB]","BIOLNVENT INTERNAT AB [SE]","A61K39/395; C07K16/28","C07K16/283; C07K16/2887; C07K16/2893; C07K16/30; A61K2039/507; A61K2039/55; C07K2317/21; C07K2317/33; C07K2317/73; C07K2317/732; C07K2317/75; C07K2317/76; C07K2317/77; C07K2317/92; C07K2317/94; A61K39/39558; C07K16/283; C07K16/2887","GB20140008673","20140515","GB20140008673 20140515","WO2012022985 (A1); WO2008140603 (A2); WO2008002933 (A2); WO2005018669 (A1); US2006134709 (A1)","","","","","","","","","","","","","","aletuzumab"
"86","COMBINATION THERAPY","JP2013166763 (A)","2013-08-29","MOLLER NIELS PETER HUNDAHL;  SKAK KRESTEN;  MUELLER JORN ROLAND","NOVO NORDISK AS","A61K39/395; A61K38/00; A61K38/20; A61K47/48; A61P31/12; A61P35/00; A61P35/02; A61P35/04; A61P43/00","A61K38/20; A61K45/06; A61K38/20; A61K2300/00","JP20130080128","20130408","DK20030001529 20031017; US20030513422P 20031022; DK20040000707 20040504; US20040569566P 20040510","","","WO03082212 (A2); WO03028630 (A2)","","","","","","","","","","","","aletuzumab"
"87","PROTEIN FORMULATIONS AND METHODS OF MAKING SAME","NZ585702 (A)","2013-08-30","TSCHOEPE MARKUS;  KRAUSE HANS-JUERGEN;  BARTL ANNIKA;  KALETA KATHARINA;  FRAUNHOFER WOLFGANG","ABBOTT LAB","A61K38/00; A61K38/01; A61K38/02","A61K38/21; A61K38/46; A61K38/4893; A61K38/50; A61K39/39591; A61K9/0019; A61K9/08; A61K9/19; A61K39/395; A61K39/3955","NZ20080585702","20081128","US20070004992P 20071130; WO2008US85066 20081128","","","","","","","","","","","","","","","aletuzumab"
"88","Treatment of multiple sclerosis (MS) with Campath-1H","AU2013206718 (A1)","2013-08-01","SACHSE ANDREAS;  MARGOLIN DAVID","GENZYME CORP;  ALCAFLEU MAN GMBH & CO KG","C07K16/28; A61K39/395","","AU20130206718","20130705","AU20070296857 20070911; AU20130206718 20130705","","","","","","","","","","","","","","","aletuzumab"
"89","DIAGNOSTIC METHOD FOR THE DETECTION OF CELLS EX VIVO.","MX2012012736 (A)","2013-02-26","MICHAEL DOBOSZ [DE];  WERNER SCHEUER","HOFFMANN LA ROCHE [CH]","G01N33/574; A61K39/395; A61K49/16; C07K16/18; C07K16/28","A61K49/0032; A61K49/0058; C07K16/2863; C07K16/32; C07K16/4291; G01N33/57484; G01N33/57492; A61K2039/505; G01N33/566","MX20120012736","20110509","EP20100004892 20100507; WO2011EP57400 20110509","","","","","","","","","","","","","","","aletuzumab"
"90","TREATMENT OF MULTIPLE SCLEROSIS (MS)","US2013108625 (A1)","2013-05-02","MARGOLIN DAVID H [US];  SACHSE ANDREAS [DE]","GENZYME CORP [US];  ALCAFLEU MAN GMBH & CO KG [DE];  ALCAFLEU MAN GMBH & CO KG [DE];  GENZYME CORP [US]","A61K39/395","C07K16/2893; A61K2039/505; A61K2039/545; A61K39/3955","US201213724958","20121221","US201213724958 20121221; US20070900211 20070910; US20060844251P 20060913","","","","","","","","","","","","","","","aletuzumab"
"91","Combination therapy","EP2633866 (A3); EP2633866 (A2)","2013-09-04","MOLLER NIELS PETER HUNDAHL [DK];  SKAK KRESTEN [DK];  MULLER JORN ROLAND [DK]","NOVO NORDISK AS [DK]","A61K38/20; A61K39/395; A61K47/48; A61P31/12; A61P35/00","A61K38/20; A61K39/39558; A61K45/06; A61K31/655; A61K39/39533; A61K39/3955; A61K31/655; A61K2300/00; A61K38/20; A61K2300/00; A61K39/39558; A61K2300/00","EP20130152434","20041008","DK20030001529 20031017; US20030513422P 20031022; DK20040000707 20040504; US20040569566P 20040510; EP20040762902 20041008","WO03082212 (A2); WO03028630 (A2)","","","","","","","","WO0053761 (A2); WO0053761 (A2); US5223409 (A); WO9206204 (A1); US5155027 (A); US5567584 (A); WO9013540 (A1); US5932462 (A); US5643575 (A); US5824778 (A); US5476653 (A); WO9732607 (A2); EP0229108 (A1); EP0402378 (A1); US4902502 (A); US5281698 (A); US5122614 (A); US5219564 (A); WO9216555 (A1); WO9404193 (A1); WO9414758 (A1); WO9417039 (A1); WO9418247 (A1); WO9428024 (A1); WO9500162 (A1); WO9511924 (A1); WO9513090 (A1); WO9533490 (A1); WO9600080 (A1); WO9718832 (A1); WO9841562 (A1); WO9848837 (A1); WO9932134 (A1); WO9932139 (A1); WO9932140 (A1); WO9640791 (A1); WO9832466 (A1); WO9506058 (A1); EP0439508 (A1); WO9703106 (A1); WO9621469 (A1); WO9513312 (A1); EP0921131 (A1); US5736625 (A); WO9805363 (A2); EP0809996 (A2); US5629384 (A); WO9641813 (A2); WO9607670 (A1); US5473034 (A); US5516673 (A); EP0605963 (A2); US5382657 (A); EP0510356 (A1); EP0400472 (A2); EP0183503 (A2); EP0154316 (A2); US5985265 (A); WO9955377 (A2); WO2004055168 (A2); US5037743 (A); US5143830 (A); US4356108 (A); US4166452 (A); US4265874 (A)","XP000670614","","","","","aletuzumab"
"92","USE OF ALEMTUZUMAB MONOCLONAL ANTIBODY IN FORMULATING AN HIV MEDICAMENT","IL179856 (A)","2010-11-30","","BAYER SCHERING PHARMA AG [DE]","","A61K38/193; A61K38/45; A61K39/39541; A61K39/3955; C07K16/2893; A61K2039/505; A61K38/193; A61K2300/00; A61K39/39541; A61K2300/00; A61K39/3955; A61K2300/00; A61K38/45; A61K2300/00","IL20060179856","20061205","US20040605173P 20040830; WO2005EP08325 20050728","","","","","","","","","","","","","","","aletuzumab"
"93","COMPOSITIONS AND METHODS FOR THE TREATMENT OF SOLID TUMOR CANCERS","WO2010027370 (A1); WO2010027370 (A9)","2010-03-11","BUCKANOVICH RONALD J [US]","BUCKANOVICH RONALD J [US];  UNIV MICHIGAN [US]","A61K39/395; A61K39/00; C07H21/00; C07K16/00; C12N5/09; C12P21/06","C07K16/2893; A61K2039/505; C07K2317/24","WO2008US75761","20080910","US20080095224P 20080908","","","","","","","","","","","US2007148191 (A1)","","","","aletuzumab"
"94","Anticancer sustained-release gel injection containing neonatal blood vessel inhibitor","CN101283975 (A)","2008-10-15","MINGHUA WANG [CN];  YING CHEN [CN]","JINAN JIFU MEDICINE SCIENCE AN [CN]","A61K9/00; A61K45/06; A61K47/34; A61P35/00","","CN20081301834","20080530","CN20081301834 20080530","","","","","","","","","","","","","","","aletuzumab"
"95","Anticancer sustained-release gel injection and preparation method thereof","CN101283974 (A)","2008-10-15","YING CHEN [CN];  HONGTAO HOU [CN]","JINAN JIFU MEDICINE SCIENCE AN [CN]","A61K9/00; A61K45/06; A61K47/34; A61P35/00","","CN20081301833","20080530","CN20081301833 20080530","","","","","","","","","","","","","","","aletuzumab"
"96","Cytogenetic abnormalities that are predictive of response to therapy for chronic lymphocytic leukemia","US2005191632 (A1)","2005-09-01","BYRD JOHN [US];  HEEREMA NYLA [US]","BYRD JOHN, ; HEEREMA NYLA","C12Q1/68; G01N33/574; C12Q1/68; G01N33/574","C12Q1/6841; C12Q1/6886; C12Q2600/106; C12Q2600/156","US20030700264","20031103","US20030700264 20031103; US20020423054P 20021101","US5491224 (A); US5756696 (A); US2003087248 (A1); US5776688 (A); US6277569 (B1); US5447841 (A)","","","","","","","","","","","","","","aletuzumab"
